
====================================================
 HierFAVG Training Start
====================================================

[Round   1] Broadcasting to 2 edges...
  [Edge 0] G1 | E1 | Hier-pFedMe | Selected 62/62
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0484
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9652
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1085
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0492
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9237
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9788
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0554
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8980
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9293
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9330
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0232
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9060
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8812
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9607
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7942
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0842
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0964
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9667
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8198
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0346
  [Edge 0] G1 | E2 | loss=3.9933
  [Edge 0] G1 | E3 | Hier-pFedMe | Selected 62/62
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8702
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7749
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9562
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1354
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9524
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8030
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8428
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9806
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1066
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8859
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7345
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8167
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9704
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9304
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9438
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7665
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9022
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9728
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8976
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8996
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7621
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9134
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0864
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9546
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9881
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9503
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8798
  [Client 59] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7548
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9910
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7520
  [Client 82] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7661
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8496
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9045
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0163
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0664
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0821
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8890
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8168
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8331
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6905
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0059
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8844
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9712
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0553
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0354
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8297
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9918
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8907
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8317
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8125
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8413
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8378
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8724
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7618
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9206
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8322
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8320
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8723
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9420
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8197
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9851
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9703
  [Edge 0] G1 | E3 | loss=3.9007
  [Edge 0] G1 | E4 | Hier-pFedMe | Selected 62/62
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8203
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7959
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7902
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8453
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7181
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8190
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7183
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6045
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7110
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8600
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6643
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6985
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8854
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8120
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8254
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7411
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7662
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8206
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7411
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6910
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8110
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9255
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7011
  [Client 82] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6373
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8605
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7667
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7120
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9008
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8033
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8541
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6808
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6678
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6381
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8337
  [Client 59] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6775
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4988
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7610
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7634
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9009
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6341
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6370
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7964
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7295
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8847
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8290
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7561
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6812
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7024
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5043
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7849
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8631
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9366
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9020
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7251
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6544
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6968
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9152
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9516
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9184
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7667
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8074
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8345
  [Edge 0] G1 | E4 | loss=3.7669
  [Edge 0] G1 | E5 | Hier-pFedMe | Selected 62/62
  [Client 72] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6548
  [Client  0] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3673
  [Client  8] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6222
  [Client 68] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6732
  [Client 89] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7665
  [Client 80] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5774
  [Client 58] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6757
  [Client 76] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6482
  [Client 26] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6606
  [Client 77] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4806
  [Client 60] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6005
  [Client 14] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5407
  [Client 38] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6964
  [Client 30] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5489
  [Client 25] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4807
  [Client 53] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5376
  [Client 95] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6845
  [Client 52] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8174
  [Client 40] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4848
  [Client 47] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5536
  [Client 69] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7913
  [Client 97] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4755
  [Client 36] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3492
  [Client 13] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8396
  [Client 23] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7010
  [Client 87] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6790
  [Client 46] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5963
  [Client 32] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5876
  [Client 79] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6730
  [Client  7] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7685
  [Client 82] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4646
  [Client  6] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5467
  [Client  2] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5755
  [Client 37] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6377
  [Client 85] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7151
  [Client 63] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6916
  [Client 99] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7211
  [Client 31] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5705
  [Client  1] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5662
  [Client 22] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7746
  [Client 56] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5277
  [Client 45] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6298
  [Client 51] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4790
  [Client 74] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6626
  [Client 35] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5593
  [Client 73] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6542
  [Client 86] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5512
  [Client 18] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5544
  [Client 21] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4894
  [Client 59] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.5592
  [Client 66] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6809
  [Client 57] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6280
  [Client 27] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6126
  [Client  4] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6083
  [Client 12] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6280
  [Client 24] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8505
  [Client 83] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6980
  [Client 11] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.3665
  [Client 41] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6419
  [Client 34] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6964
  [Client 43] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.4406
  [Client 44] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.6788
  [Edge 0] G1 | E5 | loss=3.6132
  [Edge 1] G1 | E1 | Hier-pFedMe | Selected 38/38
  [Client 61] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0281
  [Client 15] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1402
  [Client 71] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0191
  [Client 10] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0838
  [Client 98] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0287
  [Client 91] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9841
  [Client 64] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0218
  [Client 75] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0675
  [Client  9] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7351
  [Client 93] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9696
  [Client 81] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9386
  [Client 33] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9560
  [Client 19] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9369
  [Client 90] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9850
  [Client 50] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9444
  [Client 55] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9354
  [Client 70] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1659
  [Client 49] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.8989
  [Client 20] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9131
  [Client 28] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1717
  [Client  3] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.7782
  [Client 48] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.0753
  [Client 17] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9523
  [Client 96] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1476
  [Client 92] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9026
  [Client 42] Round 1 | Hier-pFedMe(λ2=35.0) | loss=4.1599
  [Client 16] Round 1 | Hier-pFedMe(λ2=35.0) | loss=3.9312
